soiltype_mostprobable,x,y
23.0,15.8125,68.9375
14.0,86.6875,65.3125
18.0,107.3125,26.6875
18.0,-96.0625,32.5625
23.0,-67.8125,44.8125
6.0,175.1875,62.8125
6.0,113.5625,52.0625
6.0,127.3125,52.1875
6.0,11.1875,47.8125
8.0,134.6875,66.4375
255.0,-122.3125,65.3125
255.0,-105.1875,63.1875
23.0,-68.9375,57.0625
23.0,87.0625,52.3125
255.0,18.0625,62.5625
255.0,102.4375,11.6875
1.0,47.6875,63.3125
8.0,134.8125,52.6875
6.0,140.1875,-33.3125
6.0,-162.6875,67.4375
255.0,5.3125,53.3125
23.0,164.8125,60.6875
8.0,125.8125,63.3125
8.0,19.9375,80.4375
23.0,-71.0625,47.0625
19.0,115.6875,-1.5625
255.0,-66.0625,50.1875
18.0,143.1875,-38.1875
10.0,113.6875,2.3125
14.0,89.4375,72.4375
6.0,-130.8125,59.8125
6.0,-161.8125,65.3125
1.0,88.0625,56.8125
1.0,52.9375,65.6875
8.0,-51.4375,66.5625
1.0,31.8125,66.3125
6.0,13.4375,60.4375
255.0,26.1875,60.1875
6.0,-86.9375,52.1875
255.0,-120.1875,65.3125
8.0,143.6875,66.0625
8.0,-69.1875,58.0625
20.0,89.4375,55.9375
6.0,-80.5625,48.0625
5.0,-104.5625,35.6875
5.0,-1.1875,38.6875
20.0,24.8125,51.8125
6.0,94.1875,57.1875
15.0,-114.6875,39.1875
6.0,67.8125,71.1875
18.0,-125.9375,54.4375
6.0,90.4375,50.4375
6.0,-145.4375,61.0625
6.0,92.4375,64.3125
6.0,57.3125,53.1875
20.0,72.4375,56.9375
14.0,81.5625,63.8125
10.0,116.0625,5.5625
6.0,-71.5625,42.3125
6.0,-116.5625,41.6875
0.0,108.3125,22.6875
6.0,-131.0625,63.9375
23.0,-74.9375,55.3125
0.0,96.4375,23.3125
0.0,-81.0625,35.4375
255.0,-77.0625,52.5625
15.0,115.3125,41.6875
2.0,-93.5625,34.3125
6.0,9.6875,51.8125
1.0,93.4375,57.8125
6.0,-104.0625,60.8125
23.0,14.8125,59.3125
6.0,-101.5625,61.1875
0.0,100.5625,6.0625
26.0,118.4375,-32.9375
7.0,40.6875,48.4375
6.0,113.6875,32.1875
8.0,99.4375,61.9375
6.0,49.1875,40.8125
6.0,102.8125,34.1875
18.0,151.8125,-29.1875
0.0,105.1875,20.0625
