ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
400.0,-130.6875,66.4375
-9999.0,178.4375,64.5625
103.0,14.9375,62.3125
84.0,21.5625,56.1875
47.0,-63.6875,45.8125
38.0,14.6875,41.1875
129.0,-67.3125,44.6875
192.0,68.9375,68.4375
145.0,22.6875,60.1875
213.0,105.0625,11.5625
54.0,41.3125,48.3125
99.0,122.5625,56.1875
42.0,-120.1875,47.5625
6.0,-116.5625,36.4375
185.0,-126.3125,66.1875
-9999.0,27.3125,58.5625
106.0,35.0625,60.8125
109.0,149.6875,60.0625
257.0,139.3125,70.6875
18.0,113.8125,41.3125
158.0,-80.8125,25.3125
157.0,24.4375,60.9375
60.0,91.3125,51.0625
26.0,25.9375,41.5625
16.0,46.3125,-22.1875
163.0,94.1875,72.6875
-9999.0,6.8125,43.3125
2.0,38.1875,15.9375
32.0,103.3125,13.9375
34.0,-99.6875,30.5625
149.0,28.4375,63.5625
110.0,35.5625,60.1875
167.0,-157.5625,59.8125
-9999.0,-8.5625,54.9375
114.0,90.8125,68.0625
130.0,36.6875,66.3125
157.0,62.1875,66.9375
45.0,-77.4375,35.6875
211.0,86.5625,62.5625
158.0,-101.5625,67.6875
138.0,127.4375,57.4375
3.0,-103.3125,26.4375
52.0,-121.0625,40.0625
76.0,112.3125,53.8125
27.0,117.1875,30.3125
92.0,158.6875,64.4375
303.0,75.5625,64.3125
59.0,96.3125,35.3125
156.0,-163.4375,68.0625
57.0,114.4375,52.4375
118.0,-72.4375,55.0625
121.0,62.5625,67.3125
118.0,132.1875,55.8125
109.0,-71.5625,-44.8125
121.0,54.8125,65.8125
58.0,47.0625,58.3125
106.0,-70.0625,47.8125
81.0,158.9375,55.3125
33.0,-112.1875,50.8125
110.0,119.9375,61.5625
116.0,-103.1875,63.8125
131.0,24.0625,58.3125
74.0,37.0625,57.3125
-9999.0,37.8125,44.5625
198.0,69.3125,67.1875
20.0,-78.4375,35.5625
101.0,164.4375,62.9375
168.0,-118.6875,67.0625
109.0,-63.9375,56.8125
128.0,27.6875,63.8125
160.0,26.1875,66.1875
154.0,-147.6875,66.1875
71.0,82.0625,28.9375
232.0,-127.8125,68.1875
111.0,58.8125,57.5625
79.0,-139.0625,63.3125
81.0,-65.5625,48.0625
70.0,137.9375,63.0625
59.0,44.8125,58.9375
126.0,-90.6875,64.9375
107.0,38.4375,66.1875
29.0,-107.6875,27.9375
-9999.0,-42.4375,64.0625
127.0,159.3125,63.9375
27.0,75.8125,42.6875
33.0,-107.4375,50.1875
169.0,85.9375,60.5625
115.0,117.3125,62.1875
289.0,-129.6875,67.4375
16.0,-108.0625,36.9375
-9999.0,163.4375,59.1875
-9999.0,129.9375,-0.5625
119.0,12.6875,64.0625
4.0,-117.4375,36.4375
124.0,-1.1875,60.1875
99.0,-131.0625,56.4375
120.0,-129.1875,53.0625
30.0,-99.8125,29.4375
10.0,-107.0625,32.5625
82.0,-126.0625,55.8125
92.0,134.4375,44.3125
13.0,124.0625,-29.5625
13.0,-108.1875,30.6875
21.0,107.5625,36.9375
129.0,156.0625,56.0625
239.0,-127.1875,67.3125
43.0,129.8125,43.1875
106.0,15.8125,68.8125
24.0,-5.3125,42.5625
80.0,10.1875,46.9375
82.0,19.8125,48.9375
41.0,72.3125,39.9375
83.0,35.0625,49.4375
-9999.0,124.9375,38.6875
26.0,0.4375,41.8125
42.0,13.8125,49.9375
206.0,86.8125,67.0625
130.0,-71.8125,64.5625
75.0,-93.0625,42.8125
137.0,145.9375,61.3125
54.0,123.9375,55.5625
340.0,72.5625,62.3125
113.0,-82.9375,64.5625
35.0,6.9375,36.8125
36.0,101.4375,25.8125
42.0,-79.3125,41.1875
89.0,-135.5625,57.8125
30.0,28.4375,39.9375
136.0,31.3125,64.8125
248.0,163.5625,62.5625
122.0,130.3125,61.8125
194.0,-155.3125,64.3125
133.0,-70.1875,51.1875
214.0,83.4375,66.4375
22.0,116.1875,27.8125
60.0,85.1875,57.5625
