ISRICSOILGRIDS_new_average_phx10percent_reduced,x,y
61.0,101.04167475,16.45833465
56.0,116.87500935,24.79166865
52.0,-136.04167755,66.87500535
53.0,113.95834245,-8.54166735
60.0,-133.54167735,62.29167165
55.0,-147.29167845,61.04167155
54.0,26.04166875,54.79167105
77.0,141.45834465,-35.62500285
59.0,-52.70833755,65.62500525
55.0,96.04167435,28.95833565
54.0,153.54167895,-28.54166895
51.0,132.29167725,34.79166945
59.0,98.95834125,56.45833785
55.0,141.87501135,43.54167015
-9999.0,16.45833465,68.95833885
-9999.0,-38.54166975,65.62500525
50.0,-122.29167645,53.54167095
-9999.0,-31.87500255,68.95833885
-9999.0,106.87500855,20.62500165
55.0,-130.20834375,66.45833865
61.0,28.54166895,-24.79166865
61.0,-73.12500585,44.79167025
57.0,-156.04167915,67.29167205
57.0,-150.20834535,66.04167195
68.0,-98.12500785,34.37500275
-9999.0,134.79167745,36.04166955
72.0,-100.62500805,48.12500385
54.0,-117.70834275,49.37500395
-9999.0,74.37500595,13.12500105
49.0,51.45833745,61.87500495
49.0,96.04167435,54.37500435
52.0,-128.95834365,55.62500445
77.0,-117.29167605,39.79166985
58.0,103.95834165,17.29166805
-9999.0,116.45834265,8.12500065
78.0,-118.54167615,34.79166945
52.0,-87.70834035,33.95833605
57.0,-3.54166695000001,58.54167135
50.0,137.29167765,36.04166955
77.0,34.79166945,31.87500255
-9999.0,-73.12500585,40.20833655
52.0,-66.45833865,53.54167095
48.0,-57.29167125,47.70833715
52.0,-159.37501275,61.45833825
61.0,106.04167515,9.37500075
48.0,11.04166755,59.37500475
-9999.0,-140.20834455,59.79167145
73.0,-113.95834245,41.87500335
57.0,-107.29167525,64.79167185
53.0,158.12501265,52.70833755
55.0,103.12500825,12.70833435
54.0,-124.79167665,67.70833875
63.0,-98.12500785,29.79166905
48.0,103.12500825,0.208333350000004
62.0,-2.70833355000002,51.04167075
68.0,-96.45834105,33.12500265
69.0,-113.12500905,45.20833695
47.0,-130.62501045,53.95833765
55.0,100.62500805,23.54166855
49.0,47.29167045,64.37500515
-9999.0,-165.62501325,66.45833865
52.0,96.87500775,53.95833765
49.0,-173.95834725,64.79167185
-9999.0,-168.95834685,65.62500525
55.0,-138.95834445,59.79167145
-9999.0,-69.79167225,-53.54167095
57.0,-76.45833945,62.29167165
-9999.0,145.20834495,42.70833675
55.0,-148.54167855,65.62500525
-9999.0,115.62500925,6.04166714999999
60.0,-145.62501165,67.29167205
60.0,127.70834355,46.45833705
57.0,2.70833354999999,44.79167025
51.0,26.04166875,58.12500465
