LandCover_5_Shrubs,x,y
27.0,102.29167485,23.12500185
0.0,140.62501125,-16.87500135
40.0,141.87501135,-16.04166795
0.0,164.79167985,-20.62500165
20.0,103.54167495,20.62500165
0.0,129.79167705,36.04166955
0.0,-5.20833375000001,38.95833645
37.0,151.45834545,-28.95833565
0.0,125.62501005,33.54166935
21.0,-4.79166705,38.95833645
0.0,-96.45834105,33.95833605
41.0,-72.29167245,-49.37500395
0.0,-98.95834125,16.45833465
7.0,-72.29167245,-43.12500345
0.0,141.87501135,-11.45833425
0.0,149.37501195,-36.87500295
0.0,153.12501225,-27.29166885
0.0,108.95834205,15.20833455
0.0,108.12500865,-1.45833345
6.0,78.54167295,30.62500245
1.0,-5.62500045000002,38.95833645
0.0,142.29167805,-9.37500075
0.0,146.87501175,-43.12500345
0.0,102.70834155,4.79166705
0.0,113.12500905,-8.12500065
0.0,145.20834495,-37.70833635
31.0,-100.62500805,27.29166885
0.0,128.95834365,-1.45833345
25.0,98.12500785,14.79166785
0.0,109.37500875,49.79167065
0.0,-98.54167455,37.29166965
0.0,-98.54167455,30.20833575
0.0,-105.62500845,20.20833495
0.0,-88.95834045,31.04166915
0.0,107.70834195,0.208333350000004
8.0,99.37500795,0.208333350000004
0.0,-88.95834045,13.95833445
0.0,101.45834145,-0.208333350000004
1.0,-109.79167545,23.54166855
0.0,156.04167915,-7.29166725
0.0,128.95834365,-0.208333350000004
0.0,153.54167895,-27.29166885
12.0,-71.87500575,-39.37500315
0.0,113.95834245,-1.04166675
0.0,-77.29167285,39.37500315
0.0,93.95834085,13.54166775
0.0,148.95834525,-20.62500165
0.0,122.29167645,9.79166744999999
51.0,144.37501155,-33.12500265
0.0,146.87501175,-36.04166955
0.0,142.70834475,-6.04166715000001
0.0,-86.45834025,38.95833645
0.0,114.37500915,-28.12500225
0.0,151.87501215,-32.29166925
0.0,137.70834435,-33.54166935
63.0,-114.37500915,37.70833635
43.0,139.37501115,-34.37500275
0.0,-91.04167395,16.45833465
0.0,123.54167655,-10.62500085
0.0,-73.54167255,-38.12500305
0.0,11.04166755,59.79167145
0.0,119.37500955,-8.54166735
0.0,131.87501055,-4.37500035000001
0.0,92.70834075,26.04166875
20.0,97.29167445,20.62500165
