ISRICSOILGRIDS_new_average_siltpercent_reduced,x,y
35.0,24.37500195,41.04166995
37.0,24.79166865,41.04166995
36.0,25.20833535,41.04166995
44.0,27.29166885,41.04166995
43.0,27.70833555,41.04166995
42.0,48.12500385,41.04166995
43.0,107.70834195,41.04166995
45.0,108.54167535,41.04166995
40.0,113.54167575,41.04166995
46.0,-123.95834325,40.62500325
57.0,-96.45834105,40.62500325
49.0,-77.29167285,40.62500325
47.0,-75.62500605,40.62500325
27.0,-5.20833375000001,40.62500325
41.0,-3.12500025,40.62500325
39.0,-0.208333350000004,40.62500325
-9999.0,7.70833395,40.62500325
-9999.0,8.12500064999998,40.62500325
26.0,9.37500075,40.62500325
-9999.0,13.54166775,40.62500325
40.0,16.45833465,40.62500325
38.0,16.87500135,40.62500325
37.0,17.29166805,40.62500325
41.0,17.70833475,40.62500325
-9999.0,18.12500145,40.62500325
39.0,21.04166835,40.62500325
36.0,21.87500175,40.62500325
37.0,22.29166845,40.62500325
33.0,23.12500185,40.62500325
-9999.0,23.95833525,40.62500325
-9999.0,24.37500195,40.62500325
-9999.0,24.79166865,40.62500325
-9999.0,28.54166895,40.62500325
33.0,28.95833565,40.62500325
41.0,29.79166905,40.62500325
44.0,30.62500245,40.62500325
39.0,31.04166915,40.62500325
37.0,106.04167515,40.62500325
43.0,106.87500855,40.62500325
38.0,108.12500865,40.62500325
38.0,108.54167535,40.62500325
39.0,108.95834205,40.62500325
-9999.0,121.87500975,40.62500325
38.0,-123.54167655,40.20833655
30.0,-5.62500045000002,40.20833655
35.0,-1.04166675000002,40.20833655
34.0,-0.208333350000004,40.20833655
-9999.0,3.12500025,40.20833655
38.0,8.54166734999998,40.20833655
-9999.0,9.79166744999998,40.20833655
-9999.0,14.37500115,40.20833655
39.0,16.04166795,40.20833655
-9999.0,17.29166805,40.20833655
-9999.0,17.70833475,40.20833655
30.0,18.12500145,40.20833655
-9999.0,18.54166815,40.20833655
41.0,22.29166845,40.20833655
-9999.0,23.12500185,40.20833655
-9999.0,23.54166855,40.20833655
-9999.0,23.95833525,40.20833655
-9999.0,25.20833535,40.20833655
-9999.0,26.04166875,40.20833655
-9999.0,26.45833545,40.20833655
40.0,28.12500225,40.20833655
41.0,28.54166895,40.20833655
37.0,29.79166905,40.20833655
37.0,30.20833575,40.20833655
44.0,37.70833635,40.20833655
33.0,110.20834215,40.20833655
38.0,-123.54167655,39.79166985
28.0,-74.37500595,39.79166985
37.0,-6.04166715000002,39.79166985
37.0,-4.79166705,39.79166985
-9999.0,1.87500014999998,39.79166985
-9999.0,2.29166684999998,39.79166985
31.0,8.54166734999998,39.79166985
35.0,8.95833404999999,39.79166985
42.0,16.45833465,39.79166985
-9999.0,16.87500135,39.79166985
-9999.0,17.70833475,39.79166985
-9999.0,18.12500145,39.79166985
36.0,21.45833505,39.79166985
38.0,21.87500175,39.79166985
37.0,22.29166845,39.79166985
-9999.0,24.79166865,39.79166985
33.0,25.20833535,39.79166985
-9999.0,25.62500205,39.79166985
34.0,26.04166875,39.79166985
40.0,26.45833545,39.79166985
37.0,27.29166885,39.79166985
36.0,27.70833555,39.79166985
37.0,28.54166895,39.79166985
29.0,28.95833565,39.79166985
35.0,29.37500235,39.79166985
36.0,29.79166905,39.79166985
44.0,115.62500925,39.79166985
54.0,-96.04167435,39.37500315
68.0,-88.95834045,39.37500315
49.0,-81.04167315,39.37500315
34.0,-8.54166735000001,39.37500315
38.0,-6.04166715000002,39.37500315
37.0,-5.20833375000001,39.37500315
37.0,-4.79166705,39.37500315
-9999.0,1.87500014999998,39.37500315
-9999.0,2.29166684999998,39.37500315
-9999.0,2.70833354999999,39.37500315
-9999.0,3.95833364999999,39.37500315
34.0,8.54166734999998,39.37500315
36.0,8.95833404999999,39.37500315
36.0,9.37500075,39.37500315
-9999.0,9.79166744999998,39.37500315
-9999.0,15.62500125,39.37500315
38.0,16.87500135,39.37500315
38.0,21.04166835,39.37500315
37.0,21.45833505,39.37500315
35.0,22.70833515,39.37500315
-9999.0,25.62500205,39.37500315
-9999.0,26.04166875,39.37500315
-9999.0,26.45833545,39.37500315
40.0,26.87500215,39.37500315
35.0,27.29166885,39.37500315
37.0,27.70833555,39.37500315
41.0,28.12500225,39.37500315
36.0,28.95833565,39.37500315
37.0,39.79166985,39.37500315
41.0,40.20833655,39.37500315
38.0,116.45834265,39.37500315
37.0,-123.12500985,38.95833645
33.0,-122.29167645,38.95833645
40.0,-121.04167635,38.95833645
56.0,-96.87500775,38.95833645
57.0,-96.45834105,38.95833645
32.0,-6.45833385,38.95833645
36.0,-5.20833375000001,38.95833645
37.0,-4.79166705,38.95833645
33.0,-3.95833365000001,38.95833645
-9999.0,0.208333349999975,38.95833645
-9999.0,9.37500075,38.95833645
-9999.0,13.95833445,38.95833645
-9999.0,14.79166785,38.95833645
37.0,16.45833465,38.95833645
-9999.0,21.04166835,38.95833645
37.0,21.87500175,38.95833645
34.0,22.29166845,38.95833645
35.0,22.70833515,38.95833645
39.0,23.12500185,38.95833645
-9999.0,23.54166855,38.95833645
-9999.0,26.04166875,38.95833645
33.0,26.45833545,38.95833645
35.0,26.87500215,38.95833645
41.0,28.12500225,38.95833645
41.0,28.95833565,38.95833645
42.0,48.54167055,38.95833645
-9999.0,120.62500965,38.95833645
-9999.0,-123.54167655,38.54166975
37.0,-123.12500985,38.54166975
37.0,-122.70834315,38.54166975
36.0,-121.45834305,38.54166975
24.0,-109.79167545,38.54166975
42.0,-98.54167455,38.54166975
56.0,-96.87500775,38.54166975
26.0,-8.54166735000001,38.54166975
34.0,-7.29166725000002,38.54166975
36.0,-6.87500055000001,38.54166975
37.0,-5.62500045000002,38.54166975
26.0,-5.20833375000001,38.54166975
36.0,-4.79166705,38.54166975
37.0,-0.625000050000011,38.54166975
35.0,-0.208333350000004,38.54166975
-9999.0,1.45833345,38.54166975
-9999.0,8.54166734999998,38.54166975
-9999.0,12.29166765,38.54166975
-9999.0,12.70833435,38.54166975
-9999.0,13.12500105,38.54166975
-9999.0,13.54166775,38.54166975
-9999.0,14.37500115,38.54166975
-9999.0,14.79166785,38.54166975
-9999.0,15.20833455,38.54166975
33.0,16.45833465,38.54166975
-9999.0,20.20833495,38.54166975
34.0,21.04166835,38.54166975
-9999.0,21.45833505,38.54166975
35.0,21.87500175,38.54166975
36.0,23.12500185,38.54166975
-9999.0,23.54166855,38.54166975
36.0,26.04166875,38.54166975
34.0,26.45833545,38.54166975
-9999.0,26.87500215,38.54166975
42.0,28.54166895,38.54166975
37.0,41.87500335,38.54166975
36.0,101.45834145,38.54166975
-9999.0,122.29167645,38.54166975
-9999.0,-123.12500985,38.12500305
26.0,-120.20834295,38.12500305
36.0,-113.12500905,38.12500305
26.0,-98.54167455,38.12500305
54.0,-95.62500765,38.12500305
58.0,-93.54167415,38.12500305
61.0,-87.29167365,38.12500305
39.0,-77.70833955,38.12500305
35.0,-6.87500055000001,38.12500305
39.0,-6.45833385,38.12500305
35.0,-6.04166715000002,38.12500305
37.0,-5.20833375000001,38.12500305
37.0,-1.45833345,38.12500305
-9999.0,12.70833435,38.12500305
36.0,13.12500105,38.12500305
-9999.0,13.95833445,38.12500305
-9999.0,14.37500115,38.12500305
34.0,14.79166785,38.12500305
37.0,21.45833505,38.12500305
35.0,21.87500175,38.12500305
-9999.0,22.70833515,38.12500305
-9999.0,23.12500185,38.12500305
-9999.0,25.62500205,38.12500305
-9999.0,26.04166875,38.12500305
-9999.0,26.45833545,38.12500305
36.0,26.87500215,38.12500305
39.0,27.29166885,38.12500305
41.0,28.12500225,38.12500305
37.0,28.54166895,38.12500305
39.0,41.87500335,38.12500305
40.0,42.29167005,38.12500305
42.0,113.95834245,38.12500305
53.0,-96.45834105,37.70833635
57.0,-95.62500765,37.70833635
66.0,-88.54167375,37.70833635
60.0,-87.70834035,37.70833635
37.0,-77.70833955,37.70833635
35.0,-77.29167285,37.70833635
23.0,-75.62500605,37.70833635
30.0,-8.54166735000001,37.70833635
34.0,-8.12500065,37.70833635
33.0,-7.29166725000002,37.70833635
33.0,-6.87500055000001,37.70833635
32.0,-6.45833385,37.70833635
36.0,-2.70833355000002,37.70833635
